id,cluster,keyword,intent,priority,target_url,page_status
83,3K Thickness,1.5mm carbon fiber plate,Transactional,P1,/products/3k-carbon-fiber-laminate-sheet,Live
84,3K Thickness,2mm 3K carbon fiber plate,Transactional,P1,/products/3k-carbon-fiber-laminate-sheet,Live
85,3K Thickness,3mm carbon fiber plate,Transactional,P1,/products/3k-carbon-fiber-laminate-sheet,Live
86,3K Thickness,4mm carbon fiber plate,Transactional,P2,/products/3k-carbon-fiber-laminate-sheet,Live
87,3K Thickness,5mm carbon fiber plate,Transactional,P2,/products/3k-carbon-fiber-laminate-sheet,Live
88,3K Thickness,6mm carbon fiber plate,Transactional,P2,/products/3k-carbon-fiber-laminate-sheet,Live
89,3K Thickness,8mm carbon fiber plate,Transactional,P2,/products/3k-carbon-fiber-laminate-sheet,Live
90,3K Thickness,10mm carbon fiber plate,Transactional,P2,/products/3k-carbon-fiber-laminate-sheet,Live
91,3K Thickness,20mm carbon fiber laminate plate,Transactional,P3,/products/3k-carbon-fiber-laminate-sheet,Live
92,3K Thickness,custom thickness carbon fiber plate,Transactional,P1,/products/3k-carbon-fiber-laminate-sheet,Live
93,3K Size,400x500 carbon fiber sheet,Transactional,P2,/products/3k-carbon-fiber-laminate-sheet,Live
94,3K Size,500x600 carbon fiber plate,Transactional,P2,/products/3k-carbon-fiber-laminate-sheet,Live
95,3K Size,1000x1000 carbon fiber sheet,Transactional,P2,/products/3k-carbon-fiber-laminate-sheet,Live
96,3K Size,custom size carbon fiber panel,Transactional,P1,/products/3k-carbon-fiber-laminate-sheet,Live
97,3K CNC,CNC ready carbon fiber sheet,Commercial,P1,/products/3k-carbon-fiber-laminate-sheet,Live
98,3K CNC,carbon fiber plate CNC cutting,Transactional,P1,/products/3k-carbon-fiber-laminate-sheet,Live
99,3K CNC,CNC carbon fiber plate supplier,Transactional,P1,/products/3k-carbon-fiber-laminate-sheet,Live
100,3K CNC,custom CNC carbon fiber sheet,Transactional,P1,/products/3k-carbon-fiber-laminate-sheet,Live
101,3K CNC,carbon fiber plate cut to size,Transactional,P1,/products/3k-carbon-fiber-laminate-sheet,Live
102,3K CNC,carbon fiber plate cut to drawing,Transactional,P1,/products/3k-carbon-fiber-laminate-sheet,Live
103,3K CNC,DXF carbon fiber plate cutting,Transactional,P2,/technical-center/3k-carbon-fiber-plate-cnc-rfq-guide,Live
104,3K CNC,STEP drawing carbon fiber machining,Transactional,P2,/technical-center/3k-carbon-fiber-plate-cnc-rfq-guide,Live
105,3K CNC,CNC drilled carbon fiber plate,Transactional,P2,/products/3k-carbon-fiber-laminate-sheet,Live
106,3K CNC,carbon fiber plate countersunk holes,Transactional,P2,/technical-center/3k-carbon-fiber-plate-cnc-rfq-guide,Live
107,3K CNC,carbon fiber plate edge finishing,Transactional,P2,/technical-center/3k-carbon-fiber-plate-cnc-rfq-guide,Live
108,3K CNC,carbon fiber machining RFQ,Transactional,P1,/technical-center/3k-carbon-fiber-plate-cnc-rfq-guide,Live
109,3K Construction,full carbon fiber laminate sheet,Commercial,P2,/products/3k-carbon-fiber-laminate-sheet,Live
110,3K Construction,3K surface UD core carbon plate,Commercial,P2,/products/3k-carbon-fiber-laminate-sheet,Live
111,3K Construction,woven carbon fiber laminate plate,Commercial,P2,/products/3k-carbon-fiber-laminate-sheet,Live
112,3K Construction,balanced layup carbon fiber plate,Commercial,P2,/products/3k-carbon-fiber-laminate-sheet,Live
113,3K Application,carbon fiber plate for industrial parts,Commercial,P1,/products/3k-carbon-fiber-laminate-sheet,Live
114,3K Application,carbon fiber sheet for fixtures,Commercial,P2,/products/3k-carbon-fiber-laminate-sheet,Live
115,3K Application,carbon fiber panel for equipment cover,Commercial,P2,/products/3k-carbon-fiber-laminate-sheet,Live
116,3K Application,3K carbon plate for automotive trim,Commercial,P2,/products/3k-carbon-fiber-laminate-sheet,Live
117,3K Application,carbon fiber plate for robotics,Commercial,P2,/products/3k-carbon-fiber-laminate-sheet,Live
118,3K Guide,carbon fiber plate thickness selection,Informational,P1,/technical-center/carbon-fiber-plate-thickness-selection-guide,Live
119,3K Guide,matte vs glossy carbon fiber sheet,Informational,P1,/technical-center/matte-vs-glossy-3k-carbon-fiber-sheet,Live
120,3K Guide,carbon fiber sheet vs carbon fiber plate,Informational,P1,/products/3k-carbon-fiber-laminate-sheet,Live
