id,cluster,keyword,intent,priority,target_url,page_status
54,Yarn and tow,T300 carbon fiber tow,Transactional,P1,/products/carbon-fiber-yarn-and-tow,Existing
55,Yarn and tow,T700 carbon fiber tow,Transactional,P1,/products/carbon-fiber-yarn-and-tow,Existing
56,Yarn and tow,carbon fiber yarn vs tow vs roving,Informational,P2,/technical-center/carbon-fiber-yarn-vs-tow-vs-roving,Existing
57,Yarn and tow,carbon fiber tow size guide 1K to 50K,Informational,P1,/technical-center/carbon-fiber-tow-size-guide-1k-50k,Existing
58,Short fiber,chopped carbon fiber,Commercial,P1,/products/chopped-carbon-fiber,Existing
59,Short fiber,chopped carbon fiber supplier,Transactional,P1,/products/chopped-carbon-fiber,Existing
60,Short fiber,chopped carbon fiber for plastic reinforcement,Commercial,P1,/products/chopped-carbon-fiber,Existing
61,Short fiber,3mm chopped carbon fiber,Transactional,P2,/products/chopped-carbon-fiber,Existing
62,Short fiber,6mm chopped carbon fiber,Transactional,P2,/products/chopped-carbon-fiber,Existing
63,Short fiber,12mm chopped carbon fiber,Transactional,P2,/products/chopped-carbon-fiber,Existing
64,Short fiber,milled carbon fiber powder,Commercial,P1,/products/milled-carbon-fiber-powder,Existing
65,Short fiber,carbon fiber powder supplier,Transactional,P1,/products/milled-carbon-fiber-powder,Existing
66,Short fiber,milled carbon fiber powder manufacturer China,Transactional,P1,/products/milled-carbon-fiber-powder,Existing
67,Short fiber,chopped carbon fiber vs milled carbon fiber powder,Informational,P1,/technical-center/chopped-carbon-fiber-vs-milled-carbon-fiber-powder,Existing
68,Short fiber,milled carbon fiber powder selection guide,Informational,P1,/technical-center/milled-carbon-fiber-powder-selection-guide,Planned
69,Short fiber,carbon fiber for plastic compounding,Informational,P2,/technical-center/carbon-fiber-for-plastic-compounding,Planned
70,Plate and sheet,carbon fiber plate,Commercial,P1,/products/3k-carbon-fiber-laminate-sheet,Existing
71,Plate and sheet,carbon fiber sheet,Commercial,P1,/products/3k-carbon-fiber-laminate-sheet,Existing
72,Plate and sheet,carbon fiber laminate sheet supplier,Transactional,P1,/products/3k-carbon-fiber-laminate-sheet,Existing
73,Plate and sheet,3K carbon fiber sheet,Transactional,P1,/products/3k-carbon-fiber-laminate-sheet,Existing
74,Plate and sheet,carbon fiber sheet custom thickness,Transactional,P2,/products/3k-carbon-fiber-laminate-sheet,Existing
75,Plate and sheet,carbon fiber plate CNC cutting,Transactional,P2,/products/custom-carbon-fiber-products,Existing
76,Plate and sheet,pultruded CFRP plate,Commercial,P1,/products/structural-strengthening-system,Existing
77,Plate and sheet,CFRP laminate strip supplier,Transactional,P2,/products/structural-strengthening-system,Existing
78,Plate and sheet,carbon fiber plate thickness guide,Informational,P2,/technical-center/carbon-fiber-plate-thickness-guide,Planned
79,Plate and sheet,carbon fiber plate vs fabric strengthening,Informational,P2,/technical-center/cfrp-plate-vs-carbon-fiber-fabric-for-structural-strengthening,Existing
80,Tubes and profiles,carbon fiber tube,Commercial,P1,/products/3k-surface-carbon-fiber-tube,Existing
81,Tubes and profiles,carbon fiber tube supplier,Transactional,P1,/products/3k-surface-carbon-fiber-tube,Existing
82,Tubes and profiles,3K carbon fiber tube,Transactional,P1,/products/3k-surface-carbon-fiber-tube,Existing
83,Tubes and profiles,pultruded carbon fiber tube,Commercial,P1,/products/pultruded-carbon-fiber-tube,Existing
84,Tubes and profiles,pultruded carbon fiber tube supplier,Transactional,P1,/products/pultruded-carbon-fiber-tube,Existing
85,Tubes and profiles,carbon fiber square tube,Transactional,P2,/products/3k-surface-carbon-fiber-tube,Existing
86,Tubes and profiles,carbon fiber rectangular tube,Transactional,P2,/products/3k-surface-carbon-fiber-tube,Existing
87,Tubes and profiles,carbon fiber rod supplier,Transactional,P2,/products/pultruded-carbon-fiber-tube,Existing
88,Tubes and profiles,roll wrapped vs pultruded carbon fiber tube,Informational,P2,/technical-center/roll-wrapped-vs-pultruded-carbon-fiber-tube,Existing
89,Tubes and profiles,carbon fiber tube selection guide,Informational,P2,/technical-center/carbon-fiber-tube-selection-guide,Planned
90,Custom CFRP,custom carbon fiber products,Commercial,P1,/products/custom-carbon-fiber-products,Existing
91,Custom CFRP,custom carbon fiber parts manufacturer,Transactional,P1,/products/custom-carbon-fiber-products,Existing
92,Custom CFRP,CNC carbon fiber parts,Transactional,P1,/products/custom-carbon-fiber-products,Existing
93,Custom CFRP,carbon fiber CNC machining supplier,Transactional,P1,/products/custom-carbon-fiber-products,Existing
94,Custom CFRP,carbon fiber parts from drawing,Transactional,P2,/products/custom-carbon-fiber-products,Existing
95,Custom CFRP,custom CFRP components China,Transactional,P2,/products/custom-carbon-fiber-products,Existing
96,Custom CFRP,CNC carbon fiber parts RFQ checklist,Informational,P2,/technical-center/cnc-carbon-fiber-parts-rfq-guide,Planned
97,Custom CFRP,carbon fiber machining guide,Informational,P2,/technical-center/machining-carbon-fiber-plate-and-parts,Planned
98,Strengthening,CFRP structural strengthening system,Commercial,P1,/products/structural-strengthening-system,Existing
99,Strengthening,carbon fiber fabric for structural strengthening,Commercial,P1,/products/structural-strengthening-system,Existing
100,Strengthening,carbon fiber plate for concrete strengthening,Commercial,P1,/products/structural-strengthening-system,Existing
101,Strengthening,CFRP strengthening materials supplier,Transactional,P1,/products/structural-strengthening-system,Existing
102,Strengthening,UD carbon fiber fabric for concrete reinforcement,Transactional,P2,/products/structural-strengthening-system,Existing
103,Strengthening,CFRP plate for bridge strengthening,Commercial,P2,/applications/structural-strengthening,Existing
104,Strengthening,carbon fiber fabric for building strengthening,Commercial,P2,/applications/structural-strengthening,Existing
105,Strengthening,CFRP plate vs carbon fiber fabric,Informational,P2,/technical-center/cfrp-plate-vs-carbon-fiber-fabric-for-structural-strengthening,Existing
106,Strengthening,CFRP strengthening material selection,Informational,P2,/technical-center/cfrp-strengthening-material-selection,Planned
107,Strengthening,structural strengthening RFQ checklist,Transactional,P2,/technical-center/structural-strengthening-rfq-guide,Planned
108,Process,carbon fiber fabric for vacuum infusion,Commercial,P1,/technical-center/carbon-fiber-fabric-for-vacuum-infusion,Planned
109,Process,best carbon fiber fabric for vacuum infusion,Informational,P1,/technical-center/carbon-fiber-fabric-for-vacuum-infusion,Planned
110,Process,carbon fiber fabric for wet lay-up,Commercial,P2,/technical-center/carbon-fiber-fabric-for-wet-lay-up,Planned
111,Process,carbon fiber for compression molding,Commercial,P2,/technical-center/carbon-fiber-for-compression-molding,Planned
112,Process,carbon fiber tow for filament winding,Commercial,P2,/products/carbon-fiber-yarn-and-tow,Existing
113,Process,carbon fiber reinforcement for pultrusion,Commercial,P2,/products/carbon-fiber-ud-fabric,Existing
114,Process,carbon fiber fabric resin compatibility,Informational,P2,/technical-center/carbon-fiber-sizing-and-resin-compatibility,Planned
115,Process,carbon fiber fabric roll width guide,Informational,P3,/technical-center/carbon-fiber-fabric-roll-width-guide,Planned
116,Process,carbon fiber vs fiberglass,Informational,P1,/technical-center/carbon-fiber-vs-fiberglass,Planned
117,Process,T300 vs T700 carbon fiber,Informational,P1,/technical-center/t300-vs-t700-carbon-fiber,Planned
118,Supplier and RFQ,carbon fiber supplier China,Commercial,P1,/,Existing
119,Supplier and RFQ,carbon fiber materials supplier,Commercial,P1,/products,Existing
120,Supplier and RFQ,carbon fiber manufacturer China,Commercial,P1,/products,Existing
121,Supplier and RFQ,carbon fiber composite materials supplier,Commercial,P1,/products,Existing
122,Supplier and RFQ,buy carbon fiber fabric from China,Transactional,P2,/products/carbon-fiber-woven-fabric,Existing
123,Supplier and RFQ,carbon fiber fabric wholesale,Transactional,P2,/products/carbon-fiber-woven-fabric,Existing
124,Supplier and RFQ,carbon fiber product catalog,Transactional,P2,/catalog,Existing
125,Supplier and RFQ,carbon fiber fabric RFQ checklist,Transactional,P1,/technical-center/carbon-fiber-fabric-rfq-checklist,Planned
126,Supplier and RFQ,how to evaluate a carbon fiber supplier,Informational,P2,/technical-center/carbon-fiber-supplier-evaluation-checklist,Planned
127,Supplier and RFQ,custom carbon fiber material quotation,Transactional,P1,/contact,Existing
128,Yarn and tow,carbon fiber roving supplier,Transactional,P1,/products/carbon-fiber-yarn-and-tow,Existing
129,Yarn and tow,carbon fiber tow manufacturer China,Transactional,P1,/products/carbon-fiber-yarn-and-tow,Existing
130,Yarn and tow,buy carbon fiber tow from China,Transactional,P1,/products/carbon-fiber-yarn-and-tow,Existing
131,Yarn and tow,1K carbon fiber yarn supplier,Transactional,P2,/products/carbon-fiber-yarn-and-tow,Existing
132,Yarn and tow,6K carbon fiber yarn supplier,Transactional,P2,/products/carbon-fiber-yarn-and-tow,Existing
133,Yarn and tow,50K carbon fiber tow supplier,Transactional,P1,/products/carbon-fiber-yarn-and-tow,Existing
134,Yarn and tow,T800 carbon fiber tow supplier,Transactional,P2,/products/carbon-fiber-yarn-and-tow,Existing
135,Yarn and tow,high strength 12K carbon fiber tow,Transactional,P1,/products/carbon-fiber-yarn-and-tow,Existing
136,Yarn and tow,epoxy compatible carbon fiber tow,Commercial,P1,/products/carbon-fiber-yarn-and-tow,Existing
137,Yarn and tow,carbon fiber tow for weaving,Commercial,P1,/products/carbon-fiber-yarn-and-tow,Existing
138,Yarn and tow,carbon fiber tow for pultrusion,Commercial,P1,/products/carbon-fiber-yarn-and-tow,Existing
139,Yarn and tow,carbon fiber tow for prepreg production,Commercial,P1,/products/carbon-fiber-yarn-and-tow,Existing
140,Yarn and tow,carbon fiber tow for braiding,Commercial,P2,/products/carbon-fiber-yarn-and-tow,Existing
141,Yarn and tow,carbon fiber bobbin supplier,Transactional,P2,/products/carbon-fiber-yarn-and-tow,Existing
142,Yarn and tow,small tow vs large tow carbon fiber,Informational,P1,/technical-center/carbon-fiber-tow-size-guide-1k-50k,Existing
143,Yarn and tow,1K vs 3K vs 12K carbon fiber tow,Informational,P1,/technical-center/carbon-fiber-tow-size-guide-1k-50k,Existing
144,Yarn and tow,carbon fiber tow sizing compatibility,Informational,P1,/technical-center/carbon-fiber-tow-sizing-resin-compatibility,Planned
145,Yarn and tow,how to specify carbon fiber tow,Informational,P1,/technical-center/carbon-fiber-yarn-tow-rfq-checklist,Planned
146,Yarn and tow,carbon fiber tow RFQ checklist,Transactional,P1,/technical-center/carbon-fiber-yarn-tow-rfq-checklist,Planned
147,Yarn and tow,carbon fiber tow spool packaging,Commercial,P2,/products/carbon-fiber-yarn-and-tow,Existing
148,Strengthening,carbon fiber strengthening fabric supplier,Transactional,P1,/products/structural-strengthening-system,Existing
149,Strengthening,300gsm carbon fiber fabric for strengthening,Transactional,P1,/products/carbon-fiber-ud-fabric,Existing
150,Strengthening,pultruded carbon fiber plate supplier,Transactional,P1,/products/structural-strengthening-system,Existing
151,Strengthening,1.2mm CFRP plate for strengthening,Transactional,P1,/products/structural-strengthening-system,Existing
152,Strengthening,carbon fiber plate for beam strengthening,Commercial,P1,/products/structural-strengthening-system,Existing
153,Woven fabric,3K woven carbon fiber cloth supplier,Transactional,P1,/products/carbon-fiber-woven-fabric,Existing
154,Woven fabric,3K 200gsm carbon fiber cloth supplier,Transactional,P1,/products/carbon-fiber-woven-fabric,Existing
155,Woven fabric,buy 3K twill carbon fiber fabric,Transactional,P1,/products/carbon-fiber-woven-fabric,Existing
