owner,use_case,locale,url
Salesperson A,Prepreg,es,https://www.myfrphome.com/es/products/prepreg-carbon-fiber-materials?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=prepreg_es
Salesperson A,Prepreg,pt-br,https://www.myfrphome.com/pt-br/products/prepreg-carbon-fiber-materials?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=prepreg_ptbr
Salesperson A,Automotive application,en,https://www.myfrphome.com/applications/automotive-carbon-fiber-parts?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=automotive_application
Salesperson A,Automotive application,es,https://www.myfrphome.com/es/applications/automotive-carbon-fiber-parts?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=automotive_application_es
Salesperson A,Automotive application,pt-br,https://www.myfrphome.com/pt-br/applications/automotive-carbon-fiber-parts?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=automotive_application_ptbr
Salesperson A,Civil UAV application,en,https://www.myfrphome.com/applications/civil-uav-drone-components?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=civil_uav_application
Salesperson A,Civil UAV application,es,https://www.myfrphome.com/es/applications/civil-uav-drone-components?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=civil_uav_application_es
Salesperson A,Civil UAV application,pt-br,https://www.myfrphome.com/pt-br/applications/civil-uav-drone-components?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=civil_uav_application_ptbr
Salesperson B,Yarn and tow,en,https://www.myfrphome.com/products/carbon-fiber-yarn-and-tow?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=yarn_tow
Salesperson B,Yarn and tow,es,https://www.myfrphome.com/es/products/carbon-fiber-yarn-and-tow?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=yarn_tow_es
Salesperson B,Yarn and tow,pt-br,https://www.myfrphome.com/pt-br/products/carbon-fiber-yarn-and-tow?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=yarn_tow_ptbr
Salesperson B,Chopped carbon fiber,en,https://www.myfrphome.com/products/chopped-carbon-fiber?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=chopped_fiber
Salesperson B,Chopped carbon fiber,es,https://www.myfrphome.com/es/products/chopped-carbon-fiber?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=chopped_fiber_es
Salesperson B,Chopped carbon fiber,pt-br,https://www.myfrphome.com/pt-br/products/chopped-carbon-fiber?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=chopped_fiber_ptbr
Salesperson B,Milled carbon fiber powder,en,https://www.myfrphome.com/products/milled-carbon-fiber-powder?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=milled_powder
Salesperson B,Milled carbon fiber powder,es,https://www.myfrphome.com/es/products/milled-carbon-fiber-powder?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=milled_powder_es
Salesperson B,Milled carbon fiber powder,pt-br,https://www.myfrphome.com/pt-br/products/milled-carbon-fiber-powder?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=milled_powder_ptbr
Salesperson B,Structural strengthening system,en,https://www.myfrphome.com/products/structural-strengthening-system?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=structural_strengthening_system
Salesperson B,Structural strengthening system,es,https://www.myfrphome.com/es/products/structural-strengthening-system?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=structural_strengthening_system_es
Salesperson B,Structural strengthening system,pt-br,https://www.myfrphome.com/pt-br/products/structural-strengthening-system?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=structural_strengthening_system_ptbr
Salesperson B,Plastic resin reinforcement,en,https://www.myfrphome.com/applications/plastic-resin-reinforcement?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=plastic_resin_reinforcement
Salesperson B,Plastic resin reinforcement,es,https://www.myfrphome.com/es/applications/plastic-resin-reinforcement?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=plastic_resin_reinforcement_es
Salesperson B,Plastic resin reinforcement,pt-br,https://www.myfrphome.com/pt-br/applications/plastic-resin-reinforcement?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=plastic_resin_reinforcement_ptbr
Salesperson B,Structural strengthening application,en,https://www.myfrphome.com/applications/structural-strengthening?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=structural_strengthening_application
Salesperson B,Structural strengthening application,es,https://www.myfrphome.com/es/applications/structural-strengthening?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=structural_strengthening_application_es
Salesperson B,Structural strengthening application,pt-br,https://www.myfrphome.com/pt-br/applications/structural-strengthening?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=structural_strengthening_application_ptbr
All,Contact RFQ,en,https://www.myfrphome.com/contact?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=contact_rfq_en
All,Contact RFQ,es,https://www.myfrphome.com/es/contact?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=contact_rfq_es
All,Contact RFQ,pt-br,https://www.myfrphome.com/pt-br/contact?utm_source=email_outreach&utm_medium=sales&utm_campaign=2026_q3_acquisition&utm_content=contact_rfq_ptbr
